year,period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,confidence_label,derivation_status
1955,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1956,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1957,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1958,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1959,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1960,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1961,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1962,1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,high,derived_constant
1962,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1963,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1964,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1965,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1966,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1967,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1968,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1969,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1970,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1971,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1972,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1973,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1974,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1975,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1976,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1977,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1978,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1979,1962_1979,global_system,global,synthesis,realism,84.35,22.7328,high,derived_constant
1962,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1963,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1964,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1965,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1966,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1967,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1968,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1969,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1970,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1971,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1972,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1973,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1974,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1975,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1976,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1977,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1978,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1979,1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,high,derived_constant
1962,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1963,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1964,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1965,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1966,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1967,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1968,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1969,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1970,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1971,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1972,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1973,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1974,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1975,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1976,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1977,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1978,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1979,1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,high,derived_constant
1962,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1963,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1964,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1965,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1966,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1967,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1968,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1969,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1970,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1971,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1972,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1973,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1974,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1975,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1976,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1977,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1978,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1979,1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,high,derived_constant
1962,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1963,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1964,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1965,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1966,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1967,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1968,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1969,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1970,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
1971,1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,high,derived_constant
